$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
01801C,5A-CAA,Libyan Air Force,Antonov An-74TK-300,A743,Gov,,,,
038F4A,TU-VAJ,Gov of the Ivory Coast,Airbus A320 251NCJSL,A20N,Gov,,,,
03E00A,TR-KPR,Gov of Gabon,Boeing 777,B772,Gov,,,,
04C030,KAF308,Gov of Kenya,Fokker F70-ER,F70,Gov,,,,
07037D,6W-ZEE,Senegalese Air Force,SOCATA TB-30 Epsilon,TB30,Mil,,,,
07037E,6W-ZEF,Senegalese Air Force,SOCATA TB-30 Epsilon,TB30,Mil,,,,
0703FA,6V-SEN,Government of Senegal,Airbus ACJ320-251N,A20N,Gov,,,,
07A001,3DC-SWZ,King Mswati III of Eswatini,McDonnell Douglas DC-9 87,MD87,Gov,,,,
080022,5H-CCM,Government of Tanzania,Fokker F28 3000,F28,Gov,,,,
08401E,TT-ABG,Gov of Chad,Dornier Do 328,J328,Gov,,,,
084F00,TT-ABC,Gov of Chad,McDonnell Douglas MD-87,MD87,Gov,,,,
088005,5V-TAI,Gov of Togo,Fokker F28 1000,F28,Gov,,,,
08CE96,9Q-CLK,Gov of Democratic Republic of Congo,Boeing 707-138B,B701,Gov,,,,
0A404C,7T-VPE,Gov of Algeria,ATR 72-600,AT76,Gov,,,,
0A404D,7T-VPF,Gov of Algeria,ATR 72-600,AT76,Gov,,,,
0AC8FC,FAC5751,Colombian Aerospace Force,Schweizer SA 2-37B,SA37,Mil,,,,
0AC8FD,FAC5754,Colombian Aerospace Force,Schweizer SA 2-37B,SA37,Mil,,,,
0AE03B,MSP007,Costa Rica Police,MD 600N,MD60,Pol,,,,
0AE03C,MSP008,Costa Rica Police,MD 600N,MD60,Pol,,,,
0D031E,XA-MMI,Air One Ambulance,Learjet 25D,LJ25,Civ,,,,
0D0391,XC-HIS,State Gov of Chiapas,Learjet 25D,LJ25,Gov,,,,
0D0897,3931,Mexican Air Force,Cessna Citation I,C501,Mil,,,,
0D0942,FAM-3933,Mexican Air Force,Cessna 501 Citation SP Eagle II,C501,Mil,,,,
0D0943,FAM-3934,Mexican Air Force,Cessna 501 Citation SP Eagle II,C501,Mil,,,,
0D81EC,YV3016,Conviasa,Embraer EMB-190STD,E190,Gov,,,,
141A99,RF-06809,Russian Air Force,Mil Mi-26,MI26,Mil,,,,
14346B,RF-13419,Russian Air Force,Kamov Ka-52,KA52,Mil,,,,
143484,RF-13444,Russian Air Force,Kamov Ka-52,KA52,Mil,,,,
14348A,RF-13450,Russian Air Force,Mil Mi-28 UB,MI28,Mil,,,,
1434B4,RF-13492,Russian Air Force,Mil Mi-28 N,MI28,Mil,,,,
14521D,RF-21021,Tatarstan Police,Kazan Helicopters Ansat-K,ANST,Pol,,,,
1557A0,RA-87968,Russia Special Flight Detachment,Yakovlev Yak-40,YK40,Gov,,,,
1557A4,RA-87972,Russia Special Flight Detachment,Yakovlev Yak-40,YK40,Gov,,,,
155982,RF-88450,Russian Navy,Beriev Be-200ES,BER2,Mil,,,,
155BCF,RA-89039,Russia Special Flight Detachment,Sukhoi Superjet 100-95B,SU95,Gov,,,,
155BEA,RA-89066,Russia Special Flight Detachment,Sukhoi Superjet 100-95B,SU95,Gov,,,,
155BEB,RA-89067,Russia Special Flight Detachment,Sukhoi Superjet 100-95LR,SU95,Gov,,,,
156DCA,RF-93642,Russian Air Force,Ilyushin IL-86 VKP,IL86,Mil,,,,
156DCD,RF-93645,Russian Air Force,Ilyushin IL-86 VKP,IL86,Mil,,,,
157591,RF-95633,Russian Air Force,Mil Mi-28 N,MI28,Mil,,,,
3006A0,I-JACK,Barilla,Honda Jet,HDJT,Civ,,,,
32000C,MM62270,Italian Coast Guard,ATR 42-400MP,AT45,Gov,Maritime Patrol,,,
320012,MM62170,Italian Coast Guard,ATR 42-400MP,AT44,Gov,Maritime Patrol,,,
