$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
01801C,5A-CAA,Libyan Air Force,Antonov An-74TK-300,A743,Gov,,,,
038F4A,TU-VAJ,Gov of the Ivory Coast,Airbus A320 251NCJSL,A20N,Gov,,,,
03E00A,TR-KPR,Gov of Gabon,Boeing 777,B772,Gov,,,,
04C030,KAF308,Gov of Kenya,Fokker F70-ER,F70,Gov,,,,
0703FA,6V-SEN,Government of Senegal,Airbus ACJ320-251N,A20N,Gov,,,,
07A001,3DC-SWZ,King Mswati III of Eswatini,McDonnell Douglas DC-9 87,MD87,Gov,,,,
080022,5H-CCM,Government of Tanzania,Fokker F28 3000,F28,Gov,,,,
08401E,TT-ABG,Gov of Chad,Dornier Do 328,J328,Gov,,,,
084F00,TT-ABC,Gov of Chad,McDonnell Douglas MD-87,MD87,Gov,,,,
088005,5V-TAI,Gov of Togo,Fokker F28 1000,F28,Gov,,,,
08CE96,9Q-CLK,Gov of Democratic Republic of Congo,Boeing 707-138B,B701,Gov,,,,
0A404C,7T-VPE,Gov of Algeria,ATR 72-600,AT76,Gov,,,,
0A404D,7T-VPF,Gov of Algeria,ATR 72-600,AT76,Gov,,,,
0D0391,XC-HIS,State Gov of Chiapas,Learjet 25D,LJ25,Gov,,,,
0D81EC,YV3016,Conviasa,Embraer EMB-190STD,E190,Gov,,,,
1557A0,RA-87968,Russia Special Flight Detachment,Yakovlev Yak-40,YK40,Gov,,,,
1557A4,RA-87972,Russia Special Flight Detachment,Yakovlev Yak-40,YK40,Gov,,,,
155BCF,RA-89039,Russia Special Flight Detachment,Sukhoi Superjet 100-95B,SU95,Gov,,,,
155BEA,RA-89066,Russia Special Flight Detachment,Sukhoi Superjet 100-95B,SU95,Gov,,,,
155BEB,RA-89067,Russia Special Flight Detachment,Sukhoi Superjet 100-95LR,SU95,Gov,,,,
32000C,MM62270,Italian Coast Guard,ATR 42-400MP,AT45,Gov,Maritime Patrol,,,
320012,MM62170,Italian Coast Guard,ATR 42-400MP,AT44,Gov,Maritime Patrol,,,
320013,MM62208,Italian Coast Guard,ATR 42-400MP,AT45,Gov,Maritime Patrol,,,
32002E,MM62311,Italian Customs Police,ATR 72-600MPA,AT76,Gov,Maritime Patrol,,,
343282,EC-KUL,United Nations,ATR 72-500,AT75,Gov,,,,
3B7F72,F-ZAFT,DGA Essais en Vol,Fokker F100,F100,Gov,,,,
3B7F76,301,French Air Force,Dassault Rafale B,RFAL,Gov,,,,
3E854F,10+03,German Air Force,Airbus A350-941,A359,Gov,,,,
3EA12C,10+01,German Air Force,Airbus A350-941,A359,Gov,,,,
3F5D91,10+02,German Air Force,Airbus A350-941,A359,Gov,,,,
400DE5,G-HIJK,Met Office,Cessna 421 Golden Eagle,C421,Gov,,,,
407918,G-TEKV,UK Border Force,Tekever AR5,UAV,Gov,,,,
407A3E,G-XATW,UK Government,Airbus A321neo,A21N,Gov,,,,
43C146,ZE700,The Royal Squadron,BAe 146-100 VIP,B461,Gov,,,,
43C147,ZE701,The Royal Squadron,BAe 146-100 VIP,B461,Gov,,,,
43C704,ZE707,The Royal Squadron,BAe 146-200 C3,B462,Gov,,,,
43C705,ZE708,The Royal Squadron,BAe 146-200 C3,B462,Gov,,,,
46F801,AC-4,Greek Coast Guard,SOCATA TB20 Trinidad,TB20,Gov,Maritime Patrol,,,
46F803,AC-3,Greek Coast Guard,SOCATA TB20 Trinidad,TB20,Gov,Maritime Patrol,,,
485694,PH-CGA,Dutch Caribbean Coastguard,DHC-8-106 MPA,DH8A,Gov,Maritime Patrol,,,
4856F3,PH-CGB,Dutch Caribbean Coastguard,DHC-8-106 MPA,DH8A,Gov,Maritime Patrol,,,
48AD06,SP-LIG,Polish Air Force,Embraer E175LR,E75S,Gov,,,,
48AD07,SP-LIH,Polish Air Force,Embraer E175LR,E75S,Gov,,,,
