$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
07037D,6W-ZEE,Senegalese Air Force,SOCATA TB-30 Epsilon,TB30,Mil,,,,
07037E,6W-ZEF,Senegalese Air Force,SOCATA TB-30 Epsilon,TB30,Mil,,,,
0AC8FC,FAC5751,Colombian Aerospace Force,Schweizer SA 2-37B,SA37,Mil,,,,
0AC8FD,FAC5754,Colombian Aerospace Force,Schweizer SA 2-37B,SA37,Mil,,,,
0D0897,3931,Mexican Air Force,Cessna Citation I,C501,Mil,,,,
0D0942,FAM-3933,Mexican Air Force,Cessna 501 Citation SP Eagle II,C501,Mil,,,,
0D0943,FAM-3934,Mexican Air Force,Cessna 501 Citation SP Eagle II,C501,Mil,,,,
141A99,RF-06809,Russian Air Force,Mil Mi-26,MI26,Mil,,,,
14346B,RF-13419,Russian Air Force,Kamov Ka-52,KA52,Mil,,,,
143484,RF-13444,Russian Air Force,Kamov Ka-52,KA52,Mil,,,,
14348A,RF-13450,Russian Air Force,Mil Mi-28 UB,MI28,Mil,,,,
1434B4,RF-13492,Russian Air Force,Mil Mi-28 N,MI28,Mil,,,,
155982,RF-88450,Russian Navy,Beriev Be-200ES,BER2,Mil,,,,
156DCA,RF-93642,Russian Air Force,Ilyushin IL-86 VKP,IL86,Mil,,,,
156DCD,RF-93645,Russian Air Force,Ilyushin IL-86 VKP,IL86,Mil,,,,
157591,RF-95633,Russian Air Force,Mil Mi-28 N,MI28,Mil,,,,
33FD34,MM55248,Italian Air Force,Aermacchi T-345,M345,Mil,,,,
33FF12,MM55075,Italian Air Force,Aermacchi MB.339 CD,M339,Mil,,,,
33FF19,MM55067,Italian Air Force,Aermacchi MB.339 CD,M339,Mil,,,,
39646A,F-GZDK,French Air Force,Cerva CE.43 Guepard,CE43,Mil,,,,
39D522,F-HVJC,French Air Force,S.A.N. Jodel D.140R Abeille,D140,Mil,,,,
3B7561,F-UGEX,French Air Force,Dassault Mirage 2000D,MIR2,Mil,,,,
3B75DE,601,French Air Force,Dassault Mirage 2000D,MIR2,Mil,,,,
