$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
0AE03B,MSP007,Costa Rica Police,MD 600N,MD60,Pol,,,,
0AE03C,MSP008,Costa Rica Police,MD 600N,MD60,Pol,,,,
14521D,RF-21021,Tatarstan Police,Kazan Helicopters Ansat-K,ANST,Pol,,,,
70C0B2,A4O-CX,Royal Oman Police Air Wing,Embraer EMB-175LR,E75L,Pol,,,,
71D910,965,Korean National Police Agency,KAI KUH-1P Chamsuri,SURN,Pol,,,,
71D91D,969,Korean National Police Agency,KAI KUH-1P Chamsuri,SURN,Pol,,,,
7C7181,VH-WPF,Western Australia Police Force,Gippsland GA-8 TC-320 Airvan,GA8,Pol,,,,
A02B6E,N11SD,Harris County Sheriff's Office,Cirrus SR-22,SR22,Pol,,,,
A07C86,N130PR,Puerto Rico Police Dept,Raytheon Baron G58,BE58,Pol,,,,
A4C32B,N406CP,Calcasieu Parish Police Jury,Beech JU-21A Ute,U21,Pol,,,,
A4FB3C,N42WB,Mesa Police Dept,Cessna P210N Javelin,P210,Pol,,,,
A64E14,N505SA,New Mexico State Police,Seabird Seeker SB7L-360A,SB7,Pol,,,,
A9697F,N7050F,Houston Police Department,Gippsaero GA-8 Airvan,GA8,Pol,,,,
ABF8B4,N8700F,Houston Police Department,Schweizer 269 C,H269,Pol,,,,
C065E7,C-GMPI,Royal Canadian Mounted Police,Quest Aircraft Company Kodiak 100,KODI,Pol,,,,
E20086,GN-816,Argentine Federal Police,SOCATA TBM 700B,TBM8,Pol,,,,
E850DE,PNE-222,Ecuadorian National Police,Piper PA-34 200T,PA34,Pol,,,,
E90E0E,CX-MIE,Uruguay Police,Robinson R66,R66,Pol,,,,
